1,170.18,56.7
2,172.72,63.504
2,170.18,64.411
2,152.4,49.896
2,162.56,43.999
2,154.94,48.081
1,200.66,95.255
2,154.94,49.896
1,180.34,68.04
2,167.64,65.772
2,152.4,51.256
1,180.34,79.379
1,182.88,65.772
2,139.7,49.896
2,162.56,50.803
2,165.1,61.236
2,165.1,61.236
2,180.34,63.504
2,172.72,58.968
1,180.34,68.947
2,170.18,57.607
1,177.8,64.864
2,172.72,74.844
1,182.88,72.576
1,180.34,83.915
2,165.1,51.71
2,170.18,52.617
2,167.64,51.256
2,160.02,65.772
2,157.48,52.617
1,180.34,70.308
2,162.56,48.535
2,162.56,47.174
2,175.26,62.143
1,190.5,90.719
1,165.1,68.04
2,170.18,63.504
2,165.1,56.7
1,190.5,108.86
2,144.78,63.504
1,172.72,61.236
1,185.42,80.74
2,172.72,55.339
2,157.48,65.772
1,172.72,86.183
1,187.96,81.647
2,160.02,56.7
1,185.42,74.844
2,167.64,52.164
2,172.72,56.7
1,182.88,95.255
2,160.02,53.524
2,165.1,61.236
1,190.5,102.06
2,175.26,65.772
2,182.88,108.86
2,175.26,77.111
2,157.48,47.628
2,162.56,56.7
2,160.02,58.968
1,198.12,86.183
2,160.02,52.164
1,185.42,127.01
2,175.26,56.7
2,160.02,54.432
2,160.02,65.772
2,160.02,59.875
1,177.8,88.451
1,175.26,76.204
2,154.94,47.628
2,165.1,50.803
1,182.88,97.523
2,175.26,68.04
2,177.8,68.04
2,170.18,56.7
2,162.56,61.236
1,177.8,83.915
2,180.34,57.607
1,182.88,80.74
2,167.64,55.792
1,167.64,65.772
2,180.34,61.236
1,172.72,61.236
1,170.18,65.772
2,170.18,65.772
1,175.26,87.544
2,167.64,56.7
1,180.34,67.132
2,165.1,56.7
2,157.48,54.432
2,165.1,53.978
2,172.72,72.576
2,170.18,63.504
2,160.02,52.164
2,162.56,56.7
2,154.94,43.092
2,157.48,57.153
2,160.02,74.844
1,177.8,75.751
1,185.42,113.4
1,187.96,127.01
1,200.66,81.647
1,180.34,79.379
2,160.02,54.432
1,185.42,56.7
1,177.8,70.761
1,190.5,83.915
2,157.48,58.968
1,170.18,63.504
2,165.1,54.432
2,167.64,63.504
1,175.26,70.308
2,152.4,47.628
2,170.18,56.7
2,165.1,52.164
2,167.64,58.968
1,175.26,77.111
1,185.42,112.04
1,187.96,78.019
1,165.1,66.679
2,157.48,63.504
2,162.56,54.432
2,160.02,49.896
2,165.1,52.164
2,154.94,52.164
1,185.42,74.844
1,187.96,81.647
1,182.88,82.555
2,165.1,58.968
1,185.42,72.576
1,187.96,86.183
1,190.5,81.647
2,177.8,74.844
2,157.48,63.504
1,172.72,74.844
2,144.78,56.7
1,182.88,72.576
2,167.64,58.06
2,165.1,52.164
2,160.02,61.236
2,167.64,53.524
2,187.96,58.968
2,162.56,58.968
2,170.18,63.504
1,180.34,78.926
2,152.4,53.524
2,165.1,60.328
2,157.48,48.535
2,162.56,65.772
1,167.64,68.04
2,180.34,74.844
2,175.26,64.864
2,177.8,70.308
2,162.56,62.596
2,157.48,66.679
1,195.58,111.13
2,157.48,58.968
2,175.26,61.236
1,177.8,68.04
1,180.34,61.236
1,182.88,72.576
2,172.72,49.896
1,175.26,70.308
2,160.02,43.545
2,165.1,63.504
2,170.18,54.432
2,170.18,58.968
1,185.42,70.308
2,160.02,47.628
1,185.42,72.576
2,160.02,50.803
2,172.72,56.7
2,175.26,59.875
2,175.26,79.379
2,160.02,68.04
2,162.56,47.628
2,175.26,61.236
2,160.02,60.782
2,162.56,52.164
2,160.02,55.792
2,170.18,77.111
1,180.34,73.483
2,172.72,63.504
2,162.56,52.164
1,185.42,92.987
2,172.72,58.968
2,170.18,65.772
2,154.94,56.7
1,175.26,81.647
2,167.64,61.236
2,162.56,63.504
1,193.04,83.915
2,162.56,61.236
2,160.02,57.607
2,157.48,52.164
2,157.48,61.236
2,180.34,64.411
2,170.18,63.504
2,172.72,61.236
1,180.34,80.74
2,170.18,61.236
2,162.56,57.607
2,177.8,69.4
2,157.48,49.896
1,185.42,74.844
1,200.66,74.844
1,190.5,72.576
1,180.34,77.111
2,165.1,53.071
1,177.8,83.915
